Date,Description,Location,Category,Amount
"04/29/2026","WASH ME AZ KINGMAN LLC   HUALAPAI     AZ","
HUALAPAI, AZ ","Charge",25
"04/29/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",24.7
"04/27/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",23.04
"04/26/2026","CTLP*CSC SERVICEWORKS    MELVILLE     NY","
MELVILLE, NY ","Charge",3
"04/26/2026","LAUGHLIN RVR LDG GIFT SH BULLHEAD CITYNV","
BULLHEAD CITY, NV ","Charge",7.6
"04/25/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",15.59
"04/23/2026","DAIRY QUEEN #15532       KINGMAN      AZ","
KINGMAN, AZ ","Charge",7.41
"04/23/2026","SP ZANYLEN               SINGAPORE    SG","
SINGAPORE, SG ","Charge",118.4
"04/23/2026","MOHAVE COUNTY MINER      928-753-6397 AZ","
928-753-6397, AZ ","Charge",75
"04/23/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",19.38
"04/23/2026","EL PALACIO DE KINGMAN    KINGMAN      AZ","
KINGMAN, AZ ","Charge",38
"04/22/2026","MOHAVE EYE CENTERS       KINGMAN      AZ","
KINGMAN, AZ ","Charge",319
"04/21/2026","PROGRESSIVE INS          800-776-4737 OH","
800-776-4737, OH ","Credit",130.93
"04/20/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",58.1
"04/20/2026","PROGRESSIVE INS          800-776-4737 OH","
800-776-4737, OH ","Charge",8.25
"04/19/2026","APPLE.COM/BILL           866-712-7753 CA","
866-712-7753, CA ","Charge",3.23
"04/19/2026","LAUGHLIN RVR LDG GIFT SH BULLHEAD CITYNV","
BULLHEAD CITY, NV ","Charge",14.5
"04/18/2026","MAVERIK #376             GOLDEN VALLEYAZ","
GOLDEN VALLEY, AZ ","Charge",8.37
"04/18/2026","LAUGHLIN RVR LDG GIFT SH BULLHEAD CITYNV","
BULLHEAD CITY, NV ","Charge",7.9
"04/18/2026","TROPICANA CARNEGIES CAFE LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",33.56
"04/17/2026","H&R BLOCK TAX SOFTWARE   800-472-5625 MO","
800-472-5625, MO ","Charge",19.95
"04/17/2026","MAVERIK #376             GOLDEN VALLEYAZ","
GOLDEN VALLEY, AZ ","Charge",5.68
"04/17/2026","AZ MVD FEE               602-255-0072 NY","
602-255-0072, NY ","Charge",4
"04/16/2026","H&R BLOCK TAX SOFTWARE   800-472-5625 MO","
800-472-5625, MO ","Charge",43.19
"04/16/2026","CCA AZ E-CORP FILLING    602-542-1014 AZ","
602-542-1014, AZ ","Charge",85
"04/16/2026","CCA CORP. DIV. TUC *SVC  407-260-3461 GA","
407-260-3461, GA ","Charge",2
"04/16/2026","SPORT CLIPS - AZ401 - KINKINGMAN      AZ","
KINGMAN, AZ ","Charge",34
"04/16/2026","PROGRESSIVE INS          800-776-4737 OH","
800-776-4737, OH ","Charge",185.5
"04/15/2026","AIRWAY CAR WASH - AZ     KINGMAN      AZ","
KINGMAN, AZ ","Charge",12
"04/15/2026","PAYMENT - THANK YOU"," ","Payment",299.25
"04/14/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",48.96
"04/14/2026","PROGRESSIVE INS          800-776-4737 OH","
800-776-4737, OH ","Charge",72.96
"04/12/2026","VISIBLE                  866-331-3527 CO","
866-331-3527, CO ","Charge",35
"04/12/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",39.22
"04/12/2026","DOLLAR GENERAL #18114    KINGMAN      AZ","
KINGMAN, AZ ","Charge",6.45
"04/12/2026","WALGREENS #12880         KINGMAN      AZ","
KINGMAN, AZ ","Charge",5
"04/12/2026","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",16.31
"04/09/2026","BEALE STREET THEATER     WWW.KINGMANARAZ","
WWW.KINGMANAR, AZ ","Charge",11.4
"04/09/2026","DAIRY QUEEN #15532       KINGMAN      AZ","
KINGMAN, AZ ","Charge",7.41
"04/09/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",80.65
"04/09/2026","PAYMENT - THANK YOU"," ","Payment",5959.72
"04/08/2026","GOOGLE *YouTubePremium   g.co/helppay#CA","
g.co/helppay#, CA ","Charge",24.85
"04/08/2026","GOOGLE *Google One       855-836-3987 CA","
855-836-3987, CA ","Charge",21.61
"04/05/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",37.62
"04/04/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",20.25
"04/03/2026","COPA AIR    2300060811603COPAAIR.COM  FL","
COPAAIR.COM, FL ","Charge",1029.63
"04/03/2026","PROGRESSIVE INS          800-776-4737 OH","
800-776-4737, OH ","Charge",10.82
"04/02/2026","DAIRY QUEEN #15532       KINGMAN      AZ","
KINGMAN, AZ ","Charge",8.28
"04/02/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",89.29
"04/02/2026","TST*SCOOPS ON 66         Kingman      AZ","
Kingman, AZ ","Charge",4.9
"04/02/2026","SQ *THE CANVAS, ITS FIRE!Kingman      AZ","
Kingman, AZ ","Charge",16.76
"04/01/2026","LYFT   *RIDE TUE 6PM     LYFT.COM     CA","
LYFT.COM, CA ","Charge",38.94
"04/01/2026","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",29.91
"04/01/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",65.11
"04/01/2026","AMAZON MKTPL*BC2IC8WB2   Amzn.com/billWA","
Amzn.com/bill, WA ","Charge",64.95
"04/01/2026","GOOGLE *CLOUD RCwGP7     g.co/HelpPay#CA","
g.co/HelpPay#, CA ","Charge",1.5
"04/01/2026","AZ MVD FEE               NEW YORK     NY","
NEW YORK, NY ","Charge",138.06
"03/31/2026","FARMER BOYS - #1069 -    LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",13.1
"03/31/2026","FARMER BOYS - #1069 -    LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",6.82
"03/31/2026","SHELL OIL 12675958008    WHITE HILLS  AZ","
WHITE HILLS, AZ ","Charge",6.48
"03/31/2026","CASEYS #2919             MARION       IA","
MARION, IA ","Charge",3.62
"03/31/2026","PAPPASITOS'S CANTINA     DALLAS       TX","
DALLAS, TX ","Charge",17.31
"03/30/2026","SP NOMADIC ADVENTURES    NOMADICADVENTMA","
NOMADICADVENT, MA ","Charge",2000
"03/30/2026","PANDA EXPRESS 2670       CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",9.1
"03/30/2026","HARDEES 1502989          CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",19.25
"03/29/2026","GODFATHERS PIZZA         CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",57.93
"03/29/2026","MCDONALD'S M2020         CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",14.62
"03/29/2026","WM SUPERCENTER #2716     319-390-9922 IA","
319-390-9922, IA ","Charge",140.03
"03/29/2026","CASEYS #2767             CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",38.74
"03/29/2026","CASEYS #2767             CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",7.69
"03/28/2026","CHICK-FIL-A #03296       CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",18.97
"03/28/2026","WM SUPERCENTER #3630     319-447-2395 IA","
319-447-2395, IA ","Charge",13.85
"03/27/2026","CHECKERS TAVERN & EATE   CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",59.14
"03/27/2026","OFFICEMAX/DEPOT 6157     CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",45.34
"03/27/2026","OFFICEMAX/DEPOT 6157     CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",48.9
"03/27/2026","KWIK STAR #947           CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",15
"03/26/2026","WALGREENS #3876 MARION  IA        CREDIT","
A        CRED, IT ","Credit",17.08
"03/26/2026","SUSHI HOUSE              CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",33.05
"03/26/2026","TESLA SERVICE US         877-7983752  CA","
877-7983752, CA ","Charge",1390.44
"03/26/2026","O'REILLY 349             MARION       IA","
MARION, IA ","Charge",25.65
"03/26/2026","WALGREENS #3876          MARION       IA","
MARION, IA ","Charge",22.31
"03/26/2026","CULVERS OF CEDAR RAPIDS  CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",36.52
"03/25/2026","DAISYS GARAGE            MARION       IA","
MARION, IA ","Charge",70
"03/25/2026","ZIO JOHNOS MARION        MARION       IA","
MARION, IA ","Charge",13.14
"03/25/2026","ZIO JOHNOS MARION        MARION       IA","
MARION, IA ","Charge",34.57
"03/25/2026","ZIO JOHNOS MARION        MARION       IA","
MARION, IA ","Charge",29
"03/25/2026","ZIO JOHNOS MARION        MARION       IA","
MARION, IA ","Charge",59.56
"03/25/2026","WM SUPERCENTER #1528     319-393-0444 IA","
319-393-0444, IA ","Charge",144.32
"03/25/2026","WM SUPERCENTER #3630     319-447-2395 IA","
319-447-2395, IA ","Charge",25.08
"03/25/2026","RTC, Las Vegas           Las Vegas    NV","
Las Vegas, NV ","Charge",4
"03/25/2026","CASEYS #2919             MARION       IA","
MARION, IA ","Charge",8.96
"03/25/2026","PHX ARIZONA HIGHWAYS     Phoenix      AZ","
Phoenix, AZ ","Charge",28.86
"03/24/2026","LYFT   *RIDE TUE 10AM    LYFT.COM     CA","
LYFT.COM, CA ","Charge",10.98
"03/24/2026","PEETS COFFEE - N1        602-3001583  AZ","
602-3001583, AZ ","Charge",12.1
"03/24/2026","SAMMYS WOOD  D LAS       LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",23.29
"03/22/2026","WAL-MART #2051 KINGMAN  AZ        CREDIT","
Z        CRED, IT ","Credit",106.99
"03/22/2026","WM SUPERCENTER #2051 KINGMAN  AZ  CREDIT","
MAN  AZ  CRED, IT ","Credit",26.9
"03/21/2026","PAYMENT - THANK YOU"," ","Payment",330.74
"03/21/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",25.34
"03/19/2026","PAYMENT - THANK YOU"," ","Payment",879.55
"03/19/2026","APPLE.COM/BILL           866-712-7753 CA","
866-712-7753, CA ","Charge",3.23
"03/19/2026","HORSESHOE HOTEL          8662094732   NV","
8662094732, NV ","Charge",206.5
"03/18/2026","WM SUPERCENTER #1560 LAS VEGAS  N CREDIT","
VEGAS  N CRED, IT ","Credit",125.55
"03/18/2026","365 VEND                 TROY         MI","
TROY, MI ","Charge",3
"03/18/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",4.29
"03/18/2026","SQ *FLOYD & COMPANY WOOD-gosq.com     AZ","
gosq.com, AZ ","Charge",14.09
"03/18/2026","SQ *THE CANVAS, ITS FIRE!Kingman      AZ","
Kingman, AZ ","Charge",14.57
"03/18/2026","TST*SCOOPS ON 66         Kingman      AZ","
Kingman, AZ ","Charge",4.9
"03/17/2026","SQ *BEN & JERRY'S @ HORSELas Vegas    NV","
Las Vegas, NV ","Charge",11.16
