Custom Order,Name,Monthly,Bi-Weekly,Category,Fixed,Account,Due Date,Terms,Notes
110,Rent,$600.00,$300.00,Bills & Utilities,TRUE,CHASECK,1,Monthly,
180,Food,$700.00,$350.00,Food & Drink,TRUE,CHASECC,,Monthly,
310,Entertainment,$600.00,$300.00,Entertainment,FALSE,CHASECC,,Monthly,
250,Travel,$800.00,$400.00,Travel,FALSE,CHASECC,,Yearly,
160,Fuel for Vehicle,$300.00,$150.00,Gas,TRUE,CHASECC,,Monthly,
190,Groceries,$200.00,$100.00,Groceries,TRUE,CHASECK,,Monthly,
280,Shopping,$200.00,$100.00,Shopping,FALSE,CHASECC,,Monthly,"Amazon purchases, clothes, shoes, etc"
120,Automotive,$100.00,$50.00,Automotive,TRUE,CHASECC,,Yearly,
290,Misc,$100.00,$50.00,Miscellaneous,FALSE,CHASECC,,Monthly,"Tax Software, other misc items"
230,Vehicle Insurance,$81.10,$40.55,Bills & Utilities,TRUE,CHASECC,"2/25, 8/25",Bi-Yearly,2018 Kia Niro
235,Vehicle Insurance,$81.10,$40.55,Bills & Utilities,TRUE,CHASECC,"2/25, 8/25",Bi-Yearly,2014 Kia Sorrento
300,Gifts (Christmas),$60.00,$30.00,Gifts & donations,FALSE,CHASECK,,Yearly,Mainly for Christmas. 
140,Dakota Post,$52.00,$26.00,Bills & Utilities,TRUE,CHASECC,01/06,Yearly,Yearly Fees and recharge account for fees
130,Health and Wellness,$50.00,$25.00,Health & wellness,TRUE,CHASECC,,Yearly,
210,"Google ONE (Storage), AI Premium, YouTube Premium",$35.00,$17.50,Bills & Utilities,TRUE,CHASECC,,Monthly,
220,Visible (2208),$35.00,$17.50,Bills & Utilities,TRUE,CHASECC,12,Monthly,
370,Duolingo,$11.00,$5.50,Bills & Utilities,FALSE,CHASECK,06/02,Yearly,
170,Haircut,$20.00,$10.00,Bills & Utilities,TRUE,CHASECK,,Monthly,
150,Vehicle Registration,$15.00,$7.50,Bills & Utilities,TRUE,CHASECC,,Yearly,
350,Amazon Prime,$13.00,$6.50,Bills & Utilities,FALSE,CHASECC,05/21,Yearly,"Paid May 21, 2024"
260,Fees & adjustments,$10.00,$5.00,Fees & adjustments,FALSE,CHASECC,,Yearly,
360,Incogni,$7.00,$3.50,Bills & Utilities,FALSE,CHASECC,1/20,Yearly,Paid for first year on 1/20/25 might go up
380,Planet Fitness Yearly Fee,$4.42,$2.21,Bills & Utilities,FALSE,CHASECK,2/1,Monthly,
240,LastPass,$3.00,$1.50,Bills & Utilities,TRUE,CHASECC,7/21,Yearly,
200,Google Domains,$1.00,$0.50,Bills & Utilities,TRUE,CHASECC,Yearly,Yearly,"Paid through August 5, 2031"
320,Netflix,$0.00,$0.00,Entertainment,FALSE,CHASECC,1,Monthly,
330,Audible,$0.00,$0.00,Entertainment,FALSE,CHASECC,9,Monthly,
340,Spotify,$0.00,$0.00,Entertainment,FALSE,CHASECC,15,Monthly,
390,Visible (Kylie),$0.00,$0.00,Bills & Utilities,FALSE,CHASECC,18,Monthly,
400,Internet (Imon - Kylie and Miguel),$0.00,$0.00,Bills & Utilities,FALSE,CHASECC,9,Monthly,
410,Internet (TMobile - Brooklyn),$0.00,$0.00,Bills & Utilities,FALSE,CHASECC,19,Monthly,
,,,,,,,,,
Difference,,,,,,,,,
$272.94,,,,,,,,,
